"","TNEV","Nev_2010","szervezet_2010","Nev_2006","szervezet_2006","jogalas","megye","kisterseg","terulet","lakonepesseg","lakasok_szama","roma_onkormanyzat","hatranyos","tipus"
"100","Aszaló","Árvai Károly","Független","Árvai Károly","Független","község","Borsod-Abaúj-Zemplén","Szikszói","2540",1902,"643",1,"LHHK",1
"101","Ászár","Mikolasek Sándor","Független","Árvai Lajos","Független","község","Komárom-Esztergom","Kisbéri","1868",1983,"709",1,"HH",1
"102","Aszód","Sztán István","Független","Buzás János","Független","város","Pest","Aszódi","1620",6395,"2437",0,NA,NA
"103","Aszófő","Bors János","Független","Bors János","Független","község","Veszprém","Balatonfüredi","832",399,"168",0,NA,NA
"104","Áta","Tóth Zsolt Miklós","Független","Soós Nándor","Független","község","Baranya","Pécsi","809",177,"92",0,NA,NA
"105","Átány","Gönczi Mihály","Független","Gönczi Mihály","Független","község","Heves","Hevesi","5044",1341,"587",1,"LHHK",1
"106","Atkár","Kocsis Attila","Független","Benei Bertalan","Független","község","Heves","Gyöngyösi","3376",1730,"728",0,NA,NA
"107","Attala","Gelencsér István","Független","Kalocsa Jenő","Független","község","Tolna","Dombóvári","2064",840,"379",0,"HH",1
"108","Babarc","Pécsi Sándor","Független","Pécsi Sándor","Független","község","Baranya","Mohácsi","1885",728,"327",0,NA,NA
"109","Babarcszőlős","Ignácz Sándorné","Független","Ruppert Antal","Független","község","Baranya","Siklósi","425",108,"64",1,"HH",1
"110","Babócsa","Jungné Kovács Piroska","Független","Péter István","Független","község","Somogy","Barcsi","3099",1547,"711",1,"LHHK",1
"111","Bábolna","Horváth Klára","Független","Horváth Klára","MAGYAR SZOCIALISTA PÁRT","város","Komárom-Esztergom","Komáromi","3355",3630,"1369",0,NA,NA
"112","Bábonymegyer","Kiss Sándorné","Független","Ruff Flórián","Független","község","Somogy","Tabi","2193",815,"365",0,"LHH",1
"113","Babosdöbréte","Kaczor Tamás","Független","Kis János","Független","község","Zala","Zalaegerszegi","1252",511,"221",0,NA,NA
"114","Babót","Molnár János","Független","Molnár János","Független","község","Győr-Moson-Sopron","Kapuvár-Beledi","2167",1089,"476",0,NA,NA
"115","Bácsalmás","Németh Balázs","Fidesz - Magyar Polgári Szövetség","Zalántai Endre","Független","város","Bács-Kiskun","Bácsalmási","10832",6851,"3284",1,"LHHK",1
"116","Bácsbokod","Kovács László","Független","Mészáros István","Független","nagyközség","Bács-Kiskun","Bajai","6393",2694,"1245",0,"HH",2
"117","Bácsborsód","Csomor László","Független","Csomor László","Független","község","Bács-Kiskun","Bajai","7752",1203,"427",0,"HH",2
"118","Bácsszentgyörgy",NA,NA,"Müller József","Független","község","Bács-Kiskun","Bajai","1473",162,"98",0,"HH",2
"119","Bácsszőlős","Szarvas Róbert Norbert","Fidesz - Magyar Polgári Szövetség","Mondovits Mihály","Független","község","Bács-Kiskun","Bácsalmási","3883",367,"272",0,"LHHK",1
"120","Badacsonytomaj","Krisztin N. László","Független","Krisztin N. László","Független","város","Veszprém","Tapolcai","3271",2091,"1090",0,"HH",2
"121","Badacsonytördemic","Vollmuth Péter Pál","Független","Vollmuth Péter","Független","község","Veszprém","Tapolcai","1025",812,"443",0,"HH",2
"122","Bag","Tóth Gábor","Fidesz - Magyar Polgári Szövetség","Tóth Gábor","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","nagyközség","Pest","Aszódi","2355",3967,"1321",1,NA,NA
"123","Bagamér","Orvos Mihály","MAGYAR SZOCIALISTA PÁRT","Orvos Mihály","MAGYAR SZOCIALISTA PÁRT","nagyközség","Hajdú-Bihar","Derecske-Létavértesi","4702",2513,"1024",1,"LHH",1
"124","Baglad","Lóránt Beáta","Független","Kulcsár Györgyné","Független","község","Zala","Lenti","486",44,"43",0,"HH",4
"125","Bagod","Mogyorósi József György","Független","Mogyorósi József György","Független","község","Zala","Zalaegerszegi","1637",1340,"473",0,NA,NA
"126","Bágyogszovát",NA,NA,"Takács Csaba János","Független","község","Győr-Moson-Sopron","Csornai","2406",1280,"555",0,"HH",2
"127","Baj","Schunder Tibor","Független","Schunder Tibor","Független","község","Komárom-Esztergom","Tatai","2113",2847,"1045",0,NA,NA
"128","Baja",NA,NA,"Révfy Zoltán","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","város","Bács-Kiskun","Bajai","17761",37508,"16085",1,"HH",2
"129","Bajánsenye","Györke Gyula","Független","Györke Gyula","Független","község","Vas","Őriszentpéteri","2185",475,"246",0,"HH",1
"130","Bajna","Pallagi Tibor","Független","Pallagi Tibor","Független","község","Komárom-Esztergom","Dorogi","3727",1938,"763",1,NA,NA
"131","Bajót","Tóth Zoltán","Független","Tóth Zoltán","Független","község","Komárom-Esztergom","Esztergomi","1644",1558,"543",1,NA,NA
"132","Bak","Molnár Károly","Független","Molnár Károly","Független","község","Zala","Zalaegerszegi","2305",1673,"612",1,NA,NA
"133","Bakháza","Kiskó Erzsébet","Fidesz - Magyar Polgári Szövetség","Nagy Tibor","Független","község","Somogy","Nagyatádi","592",184,"85",0,"HH",1
"134","Bakóca","Dénes Sándor","Független","Dénes Sándor","Független","község","Baranya","Sásdi","1065",271,"160",1,"LHHK",1
"135","Bakonszeg",NA,NA,"Marczin Sándor","Független","község","Hajdú-Bihar","Berettyóújfalui","3503",1167,"586",0,"LHHK",1
"136","Bakonya","Varga István Csaba","Független","Varga István","Független","község","Baranya","Pécsi","1507",383,"143",1,NA,NA
"137","Bakonybánk","Kovács Kálmán Imre","Független","Major László","Független","község","Komárom-Esztergom","Kisbéri","1506",430,"220",0,"HH",1
"138","Bakonybél","Baky György Sándor","Független","Baky György","SZDSZ- A MAGYAR LIBERÁLIS PÁRT","község","Veszprém","Zirci","2436",1208,"585",0,NA,NA
"139","Bakonycsernye","Turi Balázs","Fidesz - Magyar Polgári Szövetség","Turi Balázs","Független","község","Fejér","Móri","3813",3076,"1225",0,NA,NA
"140","Bakonygyirót",NA,NA,"Kmetti Károly","Független","község","Győr-Moson-Sopron","Pannonhalmai","685",154,"117",0,NA,NA
"141","Bakonyjákó","Takácsné Tompos Rita Mónika","Független","Takács Szabolcs","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","község","Veszprém","Pápai","4718",628,"258",1,NA,NA
"142","Bakonykoppány","Tekán István","Fidesz - Magyar Polgári Szövetség","Patocskai Róbert","Független","község","Veszprém","Pápai","683",186,"119",0,NA,NA
"143","Bakonykúti","Marics József","Független","Marics Józsefné","Független","község","Fejér","Székesfehérvári","1245",127,"70",0,NA,NA
"144","Bakonynána","Kropf Miklós","Független","Kropf Miklós","Független","község","Veszprém","Zirci","1493",1026,"393",0,NA,NA
"145","Bakonyoszlop","Wolf Ferenc","Független","Wolf Ferenc","Független","község","Veszprém","Zirci","1420",511,"212",0,NA,NA
"146","Bakonypéterd",NA,NA,"Mázi László","Független","község","Győr-Moson-Sopron","Pannonhalmai","1002",269,"124",0,NA,NA
"147","Bakonypölöske",NA,NA,NA,NA,"község","Veszprém","Ajkai","1104",374,"163",0,"HH",4
"148","Bakonyság","Kiss Lajos","Független","Kiss Lajos","Független","község","Veszprém","Pápai","856",49,"49",0,NA,NA
"149","Bakonysárkány","Ősz Ferenc","Fidesz - Magyar Polgári Szövetség","Weilandits István","Független","község","Komárom-Esztergom","Kisbéri","1412",943,"389",0,"HH",1
"150","Bakonyszentiván","Boldizsárné Ledó Edit","Független","Ledó Edit","Független","község","Veszprém","Pápai","914",215,"117",1,"HH",4
"151","Bakonyszentkirály","Csillag Zoltán","Független","Csillag Zoltán","Független","község","Veszprém","Zirci","2790",826,"379",0,NA,NA
"152","Bakonyszentlászló","Sebestyén Vince","Független","Sebestyén Vince","Független","község","Győr-Moson-Sopron","Pannonhalmai","3853",1728,"773",1,NA,NA
"153","Bakonyszombathely","Pintér Lajos Tibor","Független","Pintér Lajos","Független","község","Komárom-Esztergom","Kisbéri","3653",1413,"606",0,"HH",1
"154","Bakonyszücs","Oláh Kálmán Géza","Fidesz - Magyar Polgári Szövetség","Oláh Kálmán Géza","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","község","Veszprém","Pápai","3521",312,"157",0,NA,NA
"155","Bakonytamási","Németh Károly","Független","Németh Károly","Független","község","Veszprém","Pápai","2049",624,"290",1,NA,NA
"156","Baks","Búza Zsolt","Független","Búza Zsolt","Független","község","Csongrád","Kisteleki","6192",2031,"883",1,"LHHK",1
"157","Baksa","Tóth Gábor","Független","Sütő László","Független","község","Baranya","Pécsi","1382",765,"270",1,NA,NA
"158","Baktakék","Soltész János","Független","Dobos Dénes","Független","község","Borsod-Abaúj-Zemplén","Encsi","1885",716,"296",1,"LHHK",1
"159","Baktalórántháza","Nagy Lajos","BAKTALÓRÁNTHÁZÁÉRT VÁLASZTÁSI SZÖVETSÉG","Nagy Lajos","BAKTALÓRÁNTHÁZÁÉRT VÁLASZTÁSI SZÖVETSÉG","város","Szabolcs-Szatmár-Bereg","Baktalórántházai","3525",4350,"1208",1,"LHHK",1
"160","Baktüttös",NA,NA,"Kámán Krisztián","Független","község","Zala","Zalaegerszegi","971",328,"143",0,NA,NA
"161","Balajt","Szabó Zoltán","Független","Kiss Ferenc","Független","község","Borsod-Abaúj-Zemplén","Edelényi","903",475,"149",1,"LHHK",1
"162","Balassagyarmat","Medvácz Lajos Ferenc","Fidesz - Magyar Polgári Szövetség","Medvácz Lajos","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","város","Nógrád","Balassagyarmati","2374",16396,"6748",1,"HH",2
"163","Balástya","Ujvári László","Független","Ujvári László","Független","község","Csongrád","Kisteleki","11000",3417,"1937",0,"LHHK",1
"164","Balaton","Kormos Attila","Független","Kormos Attila","Független","község","Heves","Bélapátfalvai","1320",1058,"457",0,"HH",1
"165","Balatonakali","Koncz Imre","Független","Kemendy Miklós","Független","község","Veszprém","Balatonfüredi","3620",621,"280",0,NA,NA
"166","Balatonalmádi","Keszey János","Fidesz - Magyar Polgári Szövetség","Keszey János","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","város","Veszprém","Balatonalmádi","4988",9062,"4216",0,NA,NA
"167","Balatonberény",NA,NA,"Horváth László","Független","község","Somogy","Marcali","2609",1150,"677",0,"HH",1
"168","Balatonboglár","Mészáros Miklós","Fidesz - Magyar Polgári Szövetség","Kovács Miklós","Független","város","Somogy","Fonyódi","3204",5934,"2821",0,"HH",2
"169","Balatoncsicsó","Schumacher József Pál","Független","Schumacher József Pál","Független","község","Veszprém","Balatonfüredi","1320",213,"98",0,NA,NA
"170","Balatonederics","Tóth Péter","Független","Németh József","Független","község","Veszprém","Tapolcai","1858",1043,"461",0,"HH",2
"171","Balatonendréd","Késmárki Tibor","Független","Késmárki Tibor","Független","község","Somogy","Siófoki","4002",1356,"561",0,NA,NA
"172","Balatonfenyves","Lombár Gábor György","Független","Lombár Gábor György","Független","község","Somogy","Fonyódi","5193",1851,"1121",0,"HH",2
"173","Balatonfőkajár","Forró Zsolt","Független","Forró Zsolt","Független","község","Veszprém","Balatonalmádi","2192",1320,"545",1,NA,NA
"174","Balatonföldvár","Holovits Huba","Fidesz - Magyar Polgári Szövetség","Bezeréti Katalin","Független","város","Somogy","Balatonföldvári","1532",2041,"1194",0,"HH",2
"175","Balatonfüred","Bóka István","Fidesz - Magyar Polgári Szövetség","Bóka István","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","város","Veszprém","Balatonfüredi","4645",13584,"5706",1,NA,NA
"176","Balatonfűzfő","Marton Béla","Független","Majorné Kiss Zsuzsanna","Független","város","Veszprém","Balatonalmádi","925",4302,"1910",0,NA,NA
"177","Balatongyörök","Biró Róbert","Független","Kiss László Tibor","Független","község","Zala","Keszthelyi","3759",1085,"457",0,NA,NA
"178","Balatonhenye","Szalai István","Független","Szalai István","Független","község","Veszprém","Tapolcai","1173",104,"66",0,"HH",2
"179","Balatonkenese","Tömör István","Fidesz - Magyar Polgári Szövetség","Sörédi Györgyné","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","város","Veszprém","Balatonalmádi","6557",3224,"1696",0,NA,NA
"180","Balatonkeresztúr","Kovács József","Fidesz - Magyar Polgári Szövetség","Kovács József","Független","község","Somogy","Marcali","2106",1432,"698",0,"HH",1
"181","Balatonlelle","Kenéz István Imre","Független","Kenéz István","Független","város","Somogy","Fonyódi","4323",4824,"2346",0,"HH",2
"182","Balatonmagyaród","Kalász Mátyás János","Független","Németh Zoltán Lajos","Független","község","Zala","Zalakarosi","3153",470,"259",0,"HH",1
"183","Balatonmáriafürdő","Galácz György Vince","Független","Galácz György Vince","Független","község","Somogy","Marcali","2677",648,"404",0,"HH",1
"184","Balatonőszöd","Antal János","Fidesz - Magyar Polgári Szövetség","Antal János","FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG","község","Somogy","Balatonföldvári","1508",519,"347",0,"HH",2
"185","Balatonrendes","Fuchs Henrik","Független","Gáspár István","Független","község","Veszprém","Tapolcai","676",112,"72",0,"HH",2
